,Region Keywords,Regions,Locations,locs
2304,Vo,Volta,Wuti,"Wuti, Volta"
2305,Ce,Central,Wuwuso,"Wuwuso, Central"
2306,Vo,Volta,Xavi,"Xavi, Volta"
2307,Ea,Eastern,Xedzodzoekope,"Xedzodzoekope, Eastern"
2308,Bo,Bono,Yaakrom,"Yaakrom, Bono"
2309,Bo,Bono,Yabraso,"Yabraso, Bono"
2310,BE,Bono East,Yabraso (A-A),"Yabraso (A-A), Bono East"
2311,BE,Bono East,Yabraso (Kintampo N),"Yabraso (Kintampo N), Bono East"
2312,NE,North East,Yagaba,"Yagaba, North East"
2313,Sa,Savannah,Yahayape,"Yahayape, Savannah"
2314,Ea,Eastern,Yakoko,"Yakoko, Eastern"
2315,Vo,Volta,Yame,"Yame, Volta"
2316,Ah,Ahafo,Yamensakrom,"Yamensakrom, Ahafo"
2317,No,Northern,Yaoyili,"Yaoyili, Northern"
2318,No,Northern,Yapala,"Yapala, Northern"
2319,No,Northern,Yapalsi,"Yapalsi, Northern"
2320,Sa,Savannah,Yapei,"Yapei, Savannah"
2321,NE,North East,Yaroyili,"Yaroyili, North East"
2322,BE,Bono East,Yaw Pare,"Yaw Pare, Bono East"
2323,NE,North East,Yawgu,"Yawgu, North East"
2324,Bo,Bono,Yawkrom,"Yawkrom, Bono"
2325,WN,Western North,Yawmatwa,"Yawmatwa, Western North"
2326,BE,Bono East,Yefri,"Yefri, Bono East"
2327,BE,Bono East,Yeji,"Yeji, Bono East"
2328,No,Northern,Yemo Karaga,"Yemo Karaga, Northern"
2329,No,Northern,Yendi,"Yendi, Northern"
2330,Ea,Eastern,Yensiso,"Yensiso, Eastern"
2331,NE,North East,Yezebisi,"Yezebisi, North East"
2332,UW,Upper West,Yibile,"Yibile, Upper West"
2333,NE,North East,Yikpabongu,"Yikpabongu, North East"
2334,UW,Upper West,Yikpee,"Yikpee, Upper West"
2335,UE,Upper East,Yipaala,"Yipaala, Upper East"
2336,Sa,Savannah,Yipala,"Yipala, Savannah"
2337,Sa,Savannah,Yipala,"Yipala, Savannah"
2338,Sa,Savannah,Yipala,"Yipala, Savannah"
2339,No,Northern,Yipieliga,"Yipieliga, Northern"
2340,We,Western,Yirase,"Yirase, Western"
2341,UW,Upper West,Yiziri,"Yiziri, Upper West"
2342,Vo,Volta,Yordannu,"Yordannu, Volta"
2343,Vo,Volta,Yorkutikpo,"Yorkutikpo, Volta"
2344,Bo,Bono,Yoyoano,"Yoyoano, Bono"
2345,NE,North East,Yunyoo,"Yunyoo, North East"
2346,BE,Bono East,Zabrama,"Zabrama, Bono East"
2347,No,Northern,Zabzugu,"Zabzugu, Northern"
2348,UW,Upper West,Zambo,"Zambo, Upper West"
2349,UE,Upper East,Zandoya,"Zandoya, Upper East"
2350,UW,Upper West,Zang,"Zang, Upper West"
2351,No,Northern,Zangbalung,"Zangbalung, Northern"
2352,NE,North East,Zangbiyiri,"Zangbiyiri, North East"
2353,UE,Upper East,Zawse,"Zawse, Upper East"
2354,UE,Upper East,Zebilla,"Zebilla, Upper East"
2355,NE,North East,Zikaya,"Zikaya, North East"
2356,No,Northern,Zinindo,"Zinindo, Northern"
2357,NE,North East,Ziniya,"Ziniya, North East"
2358,Vo,Volta,Ziope,"Ziope, Volta"
2359,NE,North East,Zogiligu,"Zogiligu, North East"
2360,No,Northern,Zokuga,"Zokuga, Northern"
2361,Vo,Volta,Zomayi (Ketu),"Zomayi (Ketu), Volta"
2362,Vo,Volta,Zomayi (Tongu),"Zomayi (Tongu), Volta"
2363,Vo,Volta,Zongo,"Zongo, Volta"
2364,Ot,Oti,Zongo Macheri,"Zongo Macheri, Oti"
2365,UE,Upper East,Zongoiri,"Zongoiri, Upper East"
2366,NE,North East,Zoorizugu,"Zoorizugu, North East"
2367,No,Northern,Zoya,"Zoya, Northern"
2368,UE,Upper East,Zuarungu,"Zuarungu, Upper East"
